Project ID,Project Name,Project Type,Start Date,End Date,Project Status,Priority,Task ID,Task Name,Task Status,Assigned To,Hours Spent,Progress
P022,Apartment Complex Development Project 022,Other,09/01/2024,11/04/2024,On Track,High,T001,Task 001 of Apartment Complex Development Project 022,In Progress,Ivy,6,0.68
P022,Apartment Complex Development Project 022,Other,09/01/2024,28/04/2024,On Track,Medium,T002,Task 002 of Apartment Complex Development Project 022,In Progress,Grace,7,0.28
P022,Apartment Complex Development Project 022,Other,09/01/2024,24/04/2024,On Track,High,T003,Task 003 of Apartment Complex Development Project 022,In Progress,Ivy,18,0.77
P023,Commercial Center Construction Project 023,Construction,04/01/2024,18/05/2024,Behind,High,T001,Task 001 of Commercial Center Construction Project 023,Pending,Alice,17,0.45
P023,Commercial Center Construction Project 023,Construction,04/01/2024,01/06/2024,Behind,Medium,T002,Task 002 of Commercial Center Construction Project 023,Pending,Charlie,27,0.02
P023,Commercial Center Construction Project 023,Construction,04/01/2024,10/04/2024,Behind,Low,T003,Task 003 of Commercial Center Construction Project 023,In Progress,Charlie,19,0.45
P024,Highway Reconstruction Project 024,Other,16/08/2024,29/08/2024,Completed,Medium,T001,Task 001 of Highway Reconstruction Project 024,In Progress,Charlie,1,0.05
P024,Highway Reconstruction Project 024,Other,16/08/2024,04/09/2024,Completed,Low,T002,Task 002 of Highway Reconstruction Project 024,Pending,Ivy,1,0.75
P024,Highway Reconstruction Project 024,Other,16/08/2024,01/09/2024,Completed,Medium,T003,Task 003 of Highway Reconstruction Project 024,Completed,Eve,24,1.0
P025,Airport Expansion Project 025,Other,05/05/2024,20/07/2024,On Hold,High,T001,Task 001 of Airport Expansion Project 025,Completed,Alice,37,1.0
P025,Airport Expansion Project 025,Other,05/05/2024,17/07/2024,On Hold,Low,T002,Task 002 of Airport Expansion Project 025,In Progress,David,10,0.72
P025,Airport Expansion Project 025,Other,05/05/2024,03/07/2024,On Hold,Medium,T003,Task 003 of Airport Expansion Project 025,In Progress,Charlie,16,0.5
P026,Shopping Mall Renovation Project 026,Renovation,08/07/2024,30/04/2025,On Hold,Low,T001,Task 001 of Shopping Mall Renovation Project 026,In Progress,Eve,21,0.1
P026,Shopping Mall Renovation Project 026,Renovation,08/07/2024,10/08/2024,On Hold,Medium,T002,Task 002 of Shopping Mall Renovation Project 026,Completed,Eve,34,1.0
P026,Shopping Mall Renovation Project 026,Renovation,08/07/2024,06/04/2025,On Hold,High,T003,Task 003 of Shopping Mall Renovation Project 026,Pending,Alice,3,0.82
P027,University Dormitory Construction Project 027,Construction,03/01/2024,28/12/2024,Completed,High,T001,Task 001 of University Dormitory Construction Project 027,In Progress,Frank,35,0.84
P027,University Dormitory Construction Project 027,Construction,03/01/2024,22/03/2025,Completed,Low,T002,Task 002 of University Dormitory Construction Project 027,In Progress,Bob,7,1.0
P027,University Dormitory Construction Project 027,Construction,03/01/2024,19/01/2025,Completed,Medium,T003,Task 003 of University Dormitory Construction Project 027,In Progress,Alice,30,0.19
P028,Sports Stadium Upgrade Project 028,Other,25/07/2024,19/01/2025,Behind,Medium,T001,Task 001 of Sports Stadium Upgrade Project 028,Pending,Alice,22,0.31
P028,Sports Stadium Upgrade Project 028,Other,25/07/2024,28/05/2025,Behind,Medium,T002,Task 002 of Sports Stadium Upgrade Project 028,Pending,Bob,16,0.78
P028,Sports Stadium Upgrade Project 028,Other,25/07/2024,16/01/2025,Behind,Low,T003,Task 003 of Sports Stadium Upgrade Project 028,Pending,David,23,0.98
P029,Public Library Renovation Project 029,Renovation,10/04/2024,13/05/2024,On Track,Low,T001,Task 001 of Public Library Renovation Project 029,Completed,Grace,33,1.0
P029,Public Library Renovation Project 029,Renovation,10/04/2024,21/12/2024,On Track,High,T002,Task 002 of Public Library Renovation Project 029,Pending,Charlie,30,0.15
P029,Public Library Renovation Project 029,Renovation,10/04/2024,23/01/2025,On Track,High,T003,Task 003 of Public Library Renovation Project 029,Pending,Charlie,22,0.4
P030,Building a Park Project 030,Other,16/07/2024,29/07/2024,On Track,High,T001,Task 001 of Building a Park Project 030,Pending,Ivy,33,0.79
P030,Building a Park Project 030,Other,16/07/2024,29/07/2024,On Track,High,T002,Task 002 of Building a Park Project 030,Pending,Charlie,1,0.28
P030,Building a Park Project 030,Other,16/07/2024,29/07/2024,On Track,High,T003,Task 003 of Building a Park Project 030,In Progress,Bob,16,0.07
P031,Renovation of a School Project 031,Renovation,19/03/2024,09/06/2024,On Track,High,T001,Task 001 of Renovation of a School Project 031,In Progress,Bob,2,0.45
P031,Renovation of a School Project 031,Renovation,19/03/2024,06/06/2024,On Track,High,T002,Task 002 of Renovation of a School Project 031,In Progress,Eve,11,0.79
P031,Renovation of a School Project 031,Renovation,19/03/2024,03/06/2024,On Track,Medium,T003,Task 003 of Renovation of a School Project 031,Completed,Eve,5,1.0
P032,Innovation of a Classroom Project 032,Innovation,02/05/2024,26/02/2025,On Hold,High,T001,Task 001 of Innovation of a Classroom Project 032,In Progress,Eve,12,0.54
P032,Innovation of a Classroom Project 032,Innovation,02/05/2024,16/04/2025,On Hold,Medium,T002,Task 002 of Innovation of a Classroom Project 032,Pending,Charlie,4,0.39
P032,Innovation of a Classroom Project 032,Innovation,02/05/2024,24/03/2025,On Hold,Low,T003,Task 003 of Innovation of a Classroom Project 032,In Progress,David,33,0.79
P033,Construction of a Hospital Wing Project 033,Construction,15/05/2024,25/09/2024,Behind,Low,T001,Task 001 of Construction of a Hospital Wing Project 033,Completed,David,4,1.0
P033,Construction of a Hospital Wing Project 033,Construction,15/05/2024,18/10/2024,Behind,High,T002,Task 002 of Construction of a Hospital Wing Project 033,In Progress,Grace,10,0.71
P033,Construction of a Hospital Wing Project 033,Construction,15/05/2024,23/09/2024,Behind,High,T003,Task 003 of Construction of a Hospital Wing Project 033,Completed,David,4,1.0
P034,Road Expansion Project 034,Infrastructure,13/06/2024,01/09/2024,Behind,High,T001,Task 001 of Road Expansion Project 034,Pending,Grace,14,0.47
P034,Road Expansion Project 034,Infrastructure,13/06/2024,17/08/2024,Behind,High,T002,Task 002 of Road Expansion Project 034,Completed,Ivy,22,1.0
P034,Road Expansion Project 034,Infrastructure,13/06/2024,21/08/2024,Behind,High,T003,Task 003 of Road Expansion Project 034,In Progress,Charlie,32,0.68
P035,Bridge Maintenance Project 035,Maintenance,28/06/2024,31/07/2024,On Hold,Medium,T001,Task 001 of Bridge Maintenance Project 035,Completed,Eve,14,1.0
P035,Bridge Maintenance Project 035,Maintenance,28/06/2024,31/07/2024,On Hold,Low,T002,Task 002 of Bridge Maintenance Project 035,Completed,Grace,11,1.0
P035,Bridge Maintenance Project 035,Maintenance,28/06/2024,26/04/2025,On Hold,High,T003,Task 003 of Bridge Maintenance Project 035,Pending,David,40,0.29
P036,Office Building Renovation Project 036,Renovation,26/03/2024,10/07/2024,Behind,High,T001,Task 001 of Office Building Renovation Project 036,In Progress,Alice,8,0.79
P036,Office Building Renovation Project 036,Renovation,26/03/2024,29/07/2024,Behind,Medium,T002,Task 002 of Office Building Renovation Project 036,Pending,Frank,16,0.64
P036,Office Building Renovation Project 036,Renovation,26/03/2024,28/06/2024,Behind,High,T003,Task 003 of Office Building Renovation Project 036,Completed,Ivy,32,1.0
P037,Apartment Complex Development Project 037,Other,16/01/2024,31/07/2024,Behind,Medium,T001,Task 001 of Apartment Complex Development Project 037,In Progress,Ivy,12,0.09
P037,Apartment Complex Development Project 037,Other,16/01/2024,25/05/2024,Behind,High,T002,Task 002 of Apartment Complex Development Project 037,Completed,Grace,15,1.0
P037,Apartment Complex Development Project 037,Other,16/01/2024,13/06/2024,Behind,High,T003,Task 003 of Apartment Complex Development Project 037,Pending,Ivy,2,0.33
P038,Commercial Center Construction Project 038,Construction,15/01/2024,01/03/2024,Behind,Medium,T001,Task 001 of Commercial Center Construction Project 038,Pending,Alice,14,0.93
P038,Commercial Center Construction Project 038,Construction,15/01/2024,19/03/2024,Behind,Low,T002,Task 002 of Commercial Center Construction Project 038,Completed,Charlie,38,1.0
P038,Commercial Center Construction Project 038,Construction,15/01/2024,04/03/2024,Behind,High,T003,Task 003 of Commercial Center Construction Project 038,In Progress,Charlie,32,0.21
P039,Highway Reconstruction Project 039,Other,25/01/2024,23/03/2024,Completed,High,T001,Task 001 of Highway Reconstruction Project 039,Completed,Charlie,39,1.0
P039,Highway Reconstruction Project 039,Other,25/01/2024,31/03/2024,Completed,High,T002,Task 002 of Highway Reconstruction Project 039,Pending,Ivy,2,0.24
P039,Highway Reconstruction Project 039,Other,25/01/2024,03/04/2024,Completed,Medium,T003,Task 003 of Highway Reconstruction Project 039,Completed,Eve,6,1.0
P040,Airport Expansion Project 040,Other,26/01/2024,25/09/2024,Behind,Medium,T001,Task 001 of Airport Expansion Project 040,Pending,David,21,0.24
P040,Airport Expansion Project 040,Other,26/01/2024,29/07/2024,Behind,Medium,T002,Task 002 of Airport Expansion Project 040,In Progress,David,21,0.29
P040,Airport Expansion Project 040,Other,26/01/2024,14/08/2024,Behind,High,T003,Task 003 of Airport Expansion Project 040,Pending,Charlie,21,0.54
P041,Shopping Mall Renovation Project 041,Renovation,17/03/2024,21/03/2024,Completed,High,T001,Task 001 of Shopping Mall Renovation Project 041,Completed,Eve,32,1.0
P041,Shopping Mall Renovation Project 041,Renovation,17/03/2024,21/03/2024,Completed,Medium,T002,Task 002 of Shopping Mall Renovation Project 041,Pending,Eve,30,0.93
P041,Shopping Mall Renovation Project 041,Renovation,17/03/2024,21/03/2024,Completed,Medium,T003,Task 003 of Shopping Mall Renovation Project 041,In Progress,Alice,28,0.8
P042,University Dormitory Construction Project 042,Construction,31/01/2024,29/05/2024,Behind,High,T001,Task 001 of University Dormitory Construction Project 042,In Progress,Frank,32,0.05
P042,University Dormitory Construction Project 042,Construction,31/01/2024,30/07/2024,Behind,High,T002,Task 002 of University Dormitory Construction Project 042,Pending,Bob,7,0.36
P042,University Dormitory Construction Project 042,Construction,31/01/2024,02/08/2024,Behind,Medium,T003,Task 003 of University Dormitory Construction Project 042,Pending,Alice,29,0.66
P043,Sports Stadium Upgrade Project 043,Other,05/01/2024,02/06/2024,On Track,High,T001,Task 001 of Sports Stadium Upgrade Project 043,In Progress,Alice,35,0.28
P043,Sports Stadium Upgrade Project 043,Other,05/01/2024,12/05/2024,On Track,High,T002,Task 002 of Sports Stadium Upgrade Project 043,Completed,Bob,6,1.0
P043,Sports Stadium Upgrade Project 043,Other,05/01/2024,23/06/2024,On Track,High,T003,Task 003 of Sports Stadium Upgrade Project 043,Completed,David,19,1.0
P044,Public Library Renovation Project 044,Renovation,05/04/2024,30/07/2024,Behind,High,T001,Task 001 of Public Library Renovation Project 044,Pending,Grace,34,0.54
P044,Public Library Renovation Project 044,Renovation,05/04/2024,18/09/2024,Behind,Low,T002,Task 002 of Public Library Renovation Project 044,Completed,Charlie,8,1.0
P044,Public Library Renovation Project 044,Renovation,05/04/2024,14/09/2024,Behind,High,T003,Task 003 of Public Library Renovation Project 044,In Progress,Charlie,30,0.06
P045,Building a Park Project 045,Other,11/06/2024,14/07/2024,Completed,Medium,T001,Task 001 of Building a Park Project 045,Completed,Ivy,25,1.0
P045,Building a Park Project 045,Other,11/06/2024,25/02/2025,Completed,High,T002,Task 002 of Building a Park Project 045,In Progress,Charlie,39,0.55
P045,Building a Park Project 045,Other,11/06/2024,14/07/2024,Completed,Low,T003,Task 003 of Building a Park Project 045,Completed,Bob,39,1.0
P046,Renovation of a School Project 046,Renovation,13/06/2024,16/06/2024,Completed,High,T001,Task 001 of Renovation of a School Project 046,In Progress,Bob,39,0.51
P046,Renovation of a School Project 046,Renovation,13/06/2024,16/06/2024,Completed,Medium,T002,Task 002 of Renovation of a School Project 046,Pending,Eve,25,0.43
P046,Renovation of a School Project 046,Renovation,13/06/2024,18/06/2024,Completed,High,T003,Task 003 of Renovation of a School Project 046,In Progress,Eve,11,0.18
P047,Innovation of a Classroom Project 047,Innovation,27/06/2024,30/07/2024,On Hold,High,T001,Task 001 of Innovation of a Classroom Project 047,Completed,Eve,36,1.0
P047,Innovation of a Classroom Project 047,Innovation,27/06/2024,09/01/2025,On Hold,High,T002,Task 002 of Innovation of a Classroom Project 047,In Progress,Charlie,24,0.68
P047,Innovation of a Classroom Project 047,Innovation,27/06/2024,25/09/2024,On Hold,High,T003,Task 003 of Innovation of a Classroom Project 047,Completed,David,18,1.0
P048,Construction of a Hospital Wing Project 048,Construction,09/06/2024,15/12/2024,Completed,High,T001,Task 001 of Construction of a Hospital Wing Project 048,In Progress,David,35,0.49
P048,Construction of a Hospital Wing Project 048,Construction,09/06/2024,31/10/2024,Completed,Low,T002,Task 002 of Construction of a Hospital Wing Project 048,Pending,Grace,14,0.96
P048,Construction of a Hospital Wing Project 048,Construction,09/06/2024,02/11/2024,Completed,Medium,T003,Task 003 of Construction of a Hospital Wing Project 048,In Progress,David,4,0.97
P049,Road Expansion Project 049,Infrastructure,02/07/2024,11/08/2024,Completed,Medium,T001,Task 001 of Road Expansion Project 049,Completed,Grace,20,1.0
P049,Road Expansion Project 049,Infrastructure,02/07/2024,13/08/2024,Completed,Low,T002,Task 002 of Road Expansion Project 049,Pending,Ivy,35,0.44
P049,Road Expansion Project 049,Infrastructure,02/07/2024,23/08/2024,Completed,Medium,T003,Task 003 of Road Expansion Project 049,Pending,Charlie,8,0.76
P050,Bridge Maintenance Project 050,Maintenance,12/06/2024,22/07/2024,On Track,High,T001,Task 001 of Bridge Maintenance Project 050,In Progress,Eve,38,0.71
P050,Bridge Maintenance Project 050,Maintenance,12/06/2024,25/07/2024,On Track,High,T002,Task 002 of Bridge Maintenance Project 050,Completed,Grace,40,1.0
P050,Bridge Maintenance Project 050,Maintenance,12/06/2024,31/07/2024,On Track,High,T003,Task 003 of Bridge Maintenance Project 050,In Progress,David,18,0.09
P051,Office Building Renovation Project 051,Renovation,23/03/2024,12/12/2024,Behind,Low,T001,Task 001 of Office Building Renovation Project 051,Pending,Alice,19,0.03
P051,Office Building Renovation Project 051,Renovation,23/03/2024,25/09/2024,Behind,High,T002,Task 002 of Office Building Renovation Project 051,Completed,Frank,27,1.0
P051,Office Building Renovation Project 051,Renovation,23/03/2024,21/10/2024,Behind,High,T003,Task 003 of Office Building Renovation Project 051,In Progress,Ivy,12,0.41
P052,Apartment Complex Development Project 052,Other,27/05/2024,27/07/2025,On Hold,Low,T001,Task 001 of Apartment Complex Development Project 052,In Progress,Ivy,19,0.88
P052,Apartment Complex Development Project 052,Other,27/05/2024,11/06/2025,On Hold,Low,T002,Task 002 of Apartment Complex Development Project 052,Pending,Grace,14,0.19
P052,Apartment Complex Development Project 052,Other,27/05/2024,22/08/2025,On Hold,High,T003,Task 003 of Apartment Complex Development Project 052,In Progress,Ivy,9,0.63
P053,Commercial Center Construction Project 053,Construction,18/06/2024,27/11/2024,On Track,Low,T001,Task 001 of Commercial Center Construction Project 053,In Progress,Alice,3,0.48
P053,Commercial Center Construction Project 053,Construction,18/06/2024,21/10/2024,On Track,High,T002,Task 002 of Commercial Center Construction Project 053,Pending,Charlie,21,0.45
P053,Commercial Center Construction Project 053,Construction,18/06/2024,07/11/2024,On Track,High,T003,Task 003 of Commercial Center Construction Project 053,Pending,Charlie,6,0.66
P054,Highway Reconstruction Project 054,Other,15/04/2024,26/12/2024,Behind,High,T001,Task 001 of Highway Reconstruction Project 054,Pending,Charlie,25,0.95
P054,Highway Reconstruction Project 054,Other,15/04/2024,06/03/2025,Behind,High,T002,Task 002 of Highway Reconstruction Project 054,Pending,Ivy,33,0.32
P054,Highway Reconstruction Project 054,Other,15/04/2024,29/04/2025,Behind,Low,T003,Task 003 of Highway Reconstruction Project 054,In Progress,Eve,16,0.75
P055,Airport Expansion Project 055,Other,28/08/2024,21/04/2025,On Hold,High,T001,Task 001 of Airport Expansion Project 055,In Progress,David,17,0.36
P055,Airport Expansion Project 055,Other,28/08/2024,28/08/2025,On Hold,High,T002,Task 002 of Airport Expansion Project 055,Pending,David,29,0.17
P055,Airport Expansion Project 055,Other,28/08/2024,05/09/2025,On Hold,High,T003,Task 003 of Airport Expansion Project 055,In Progress,Alice,27,0.09
P056,Shopping Mall Renovation Project 056,Renovation,15/08/2024,25/09/2024,Completed,High,T001,Task 001 of Shopping Mall Renovation Project 056,Completed,Eve,25,1.0
P056,Shopping Mall Renovation Project 056,Renovation,15/08/2024,02/11/2024,Completed,Low,T002,Task 002 of Shopping Mall Renovation Project 056,In Progress,Eve,23,0.08
P056,Shopping Mall Renovation Project 056,Renovation,15/08/2024,04/11/2024,Completed,High,T003,Task 003 of Shopping Mall Renovation Project 056,In Progress,Alice,40,0.19
P057,University Dormitory Construction Project 057,Construction,23/03/2024,15/06/2025,On Track,Medium,T001,Task 001 of University Dormitory Construction Project 057,In Progress,Frank,20,0.15
P057,University Dormitory Construction Project 057,Construction,23/03/2024,25/04/2024,On Track,High,T002,Task 002 of University Dormitory Construction Project 057,Completed,Bob,6,1.0
P057,University Dormitory Construction Project 057,Construction,23/03/2024,29/12/2024,On Track,Low,T003,Task 003 of University Dormitory Construction Project 057,In Progress,Alice,28,0.66
P058,Sports Stadium Upgrade Project 058,Other,24/07/2024,26/08/2024,On Hold,High,T001,Task 001 of Sports Stadium Upgrade Project 058,Completed,Alice,20,1.0
P058,Sports Stadium Upgrade Project 058,Other,24/07/2024,04/09/2025,On Hold,Low,T002,Task 002 of Sports Stadium Upgrade Project 058,Pending,Bob,10,0.99
P058,Sports Stadium Upgrade Project 058,Other,24/07/2024,06/07/2025,On Hold,Low,T003,Task 003 of Sports Stadium Upgrade Project 058,Pending,David,3,0.93
